% -------------------------------------------------------------------------------------------
% HOYA Glass Catalog
% -------------------------------------------------------------------------------------------
% Date:                   2013-10-01
% Source:                 http://www.hoyaoptics.com/products/document_library.htm
%                         HOYA20131001.xls
% Dispersion Formula:     Schott  [ n^2 = A0 + A1*L^2 + A2*L^-2 + A3*L^-4 + A4*L^-6 + A5*L^-8]
% Valid Wavelength Range: See HOYA Data Sheets  (362nm - 1014nm)
% -------------------------------------------------------------------------------------------
% $HeadURL: file:///C:/svn_Master/svn_macos/trunk/RxGen/HOYA_2013.txt $
% $Revision: 1032 $
% $Id: HOYA_2013.txt 1032 2013-10-22 20:17:20Z Pegasus $
% -------------------------------------------------------------------------------------------
% Name	A0	A1	A2	A3	A4	A5
%/
NBFD15-W	3.15400110E+000	-1.32567530E-002	3.41033120E-002	1.84721670E-003	-1.08073320E-004	1.29759010E-005
TAF1	3.07363780E+000	-1.55012840E-002	2.36276990E-002	6.63008520E-004	-2.83534380E-005	2.20907990E-006
TAF3	3.17437070E+000	-1.41104660E-002	2.88626370E-002	3.35594900E-005	8.04221090E-005	-2.89567440E-006
TAFD5F	3.27554600E+000	-1.44703540E-002	3.09220620E-002	7.32899810E-004	4.65733070E-006	1.82427460E-006
TAFD25	3.49055280E+000	-1.63257710E-002	4.11463220E-002	2.71691240E-003	-1.82605180E-004	2.06418620E-005
TAFD30	3.44190380E+000	-1.41752450E-002	3.43510400E-002	1.17522710E-003	-3.90103430E-005	3.74170540E-006
TAFD33	3.43169550E+000	-1.31562730E-002	3.56318620E-002	9.13781090E-004	-4.03668860E-006	3.38676880E-006
TAFD35	3.52747470E+000	-1.48399480E-002	3.97454020E-002	1.80347200E-003	-8.92793340E-005	1.13777830E-005
TAFD37	3.49433690E+000	-1.36476240E-002	3.88331700E-002	1.11325550E-003	-7.40223700E-006	5.30277540E-006
TAFD40	3.81062320E+000	-1.63515650E-002	5.88010970E-002	3.49190260E-003	-1.69481100E-004	3.25693330E-005
TAFD45	3.67296200E+000	-1.51805000E-002	4.57187000E-002	2.18622100E-003	-9.93742000E-005	1.49046600E-005
TAFD55	3.83175780E+000	-1.52663970E-002	5.45738430E-002	2.31093460E-003	-4.44762010E-005	1.61438870E-005
